# Animation run summary
animation_type,AStar_animation
total_frames,1176
total_time_s,11.7600
success,True
num_collisions,561
num_replans,1220
path_length,282.4976
trajectory_image,animation_run_20260218_115730_AStar_animation_trajectory.png

"# Collisions (time_s, frame, type, detail)"
time_s,frame,type,detail
5.9500,595,ellipse,obstacle indices [1]
5.9600,596,ellipse,obstacle indices [1]
5.9700,597,ellipse,obstacle indices [1]
5.9800,598,ellipse,obstacle indices [1]
5.9900,599,ellipse,obstacle indices [1]
6.0000,600,ellipse,obstacle indices [1]
6.0100,601,ellipse,obstacle indices [1]
6.0200,602,ellipse,obstacle indices [1]
6.0300,603,ellipse,obstacle indices [1]
6.0400,604,ellipse,obstacle indices [1]
6.0500,605,ellipse,obstacle indices [1]
6.0600,606,ellipse,obstacle indices [1]
6.0700,607,ellipse,obstacle indices [1]
6.0800,608,ellipse,obstacle indices [1]
6.0900,609,ellipse,obstacle indices [1]
6.1000,610,ellipse,obstacle indices [1]
6.1100,611,ellipse,obstacle indices [1]
6.1200,612,ellipse,obstacle indices [1]
6.1300,613,ellipse,obstacle indices [1]
6.1400,614,ellipse,obstacle indices [1]
6.1500,615,ellipse,obstacle indices [1]
6.1600,616,ellipse,obstacle indices [1]
6.1700,617,ellipse,obstacle indices [1]
6.1800,618,ellipse,obstacle indices [1]
6.1900,619,ellipse,obstacle indices [1]
6.2000,620,ellipse,obstacle indices [1]
6.2100,621,ellipse,obstacle indices [1]
6.2200,622,ellipse,obstacle indices [1]
6.2300,623,ellipse,obstacle indices [1]
6.2400,624,ellipse,obstacle indices [1]
6.2500,625,ellipse,obstacle indices [1]
6.2600,626,ellipse,obstacle indices [1]
6.2700,627,ellipse,obstacle indices [1]
6.2800,628,ellipse,obstacle indices [1]
6.2900,629,ellipse,obstacle indices [1]
6.3000,630,ellipse,obstacle indices [1]
6.3100,631,ellipse,obstacle indices [1]
6.3200,632,ellipse,obstacle indices [1]
6.3300,633,ellipse,obstacle indices [1]
6.3400,634,ellipse,obstacle indices [1]
6.3500,635,ellipse,obstacle indices [1]
6.3600,636,ellipse,obstacle indices [1]
6.3700,637,ellipse,obstacle indices [1]
6.3800,638,ellipse,obstacle indices [1]
6.3900,639,ellipse,obstacle indices [1]
6.4000,640,ellipse,obstacle indices [1]
6.4100,641,ellipse,obstacle indices [1]
6.4200,642,ellipse,obstacle indices [1]
6.4300,643,ellipse,obstacle indices [1]
6.4400,644,ellipse,obstacle indices [1]
6.4500,645,ellipse,obstacle indices [1]
6.4600,646,ellipse,obstacle indices [1]
6.4700,647,ellipse,obstacle indices [1]
6.4800,648,ellipse,obstacle indices [1]
6.4900,649,ellipse,obstacle indices [1]
6.5000,650,ellipse,obstacle indices [1]
6.5100,651,ellipse,obstacle indices [1]
6.5200,652,ellipse,obstacle indices [1]
6.5300,653,ellipse,obstacle indices [1]
6.5400,654,ellipse,obstacle indices [1]
6.5500,655,ellipse,obstacle indices [1]
6.5600,656,ellipse,obstacle indices [1]
6.5700,657,ellipse,obstacle indices [1]
6.5800,658,ellipse,obstacle indices [1]
6.5900,659,ellipse,obstacle indices [1]
6.6000,660,ellipse,obstacle indices [1]
6.6100,661,ellipse,obstacle indices [1]
6.6200,662,ellipse,obstacle indices [1]
6.6300,663,ellipse,obstacle indices [1]
6.6400,664,ellipse,obstacle indices [1]
6.6500,665,ellipse,obstacle indices [1]
6.6600,666,ellipse,obstacle indices [1]
6.6700,667,ellipse,obstacle indices [1]
6.6800,668,ellipse,obstacle indices [1]
6.6900,669,ellipse,obstacle indices [1]
6.7000,670,ellipse,obstacle indices [1]
6.7100,671,ellipse,obstacle indices [1]
6.7200,672,ellipse,obstacle indices [1]
6.7300,673,ellipse,obstacle indices [1]
6.7400,674,ellipse,obstacle indices [1]
6.7500,675,ellipse,obstacle indices [1]
6.7600,676,ellipse,obstacle indices [1]
6.7700,677,ellipse,obstacle indices [1]
6.7800,678,ellipse,obstacle indices [1]
6.7900,679,ellipse,obstacle indices [1]
6.8000,680,ellipse,obstacle indices [1]
6.8100,681,ellipse,obstacle indices [1]
6.8200,682,ellipse,obstacle indices [1]
6.8300,683,ellipse,obstacle indices [1]
6.8400,684,ellipse,obstacle indices [1]
6.8500,685,ellipse,obstacle indices [1]
6.8600,686,ellipse,obstacle indices [1]
